id,description,length,n_runs,mean_run_length,longest_run,run_length_entropy,run_length_gini,overall_durfee,count_A,freq_A,runs_A,mean_run_A,max_run_A,durfee_A,entropy_run_lengths_A,count_C,freq_C,runs_C,mean_run_C,max_run_C,durfee_C,entropy_run_lengths_C,count_G,freq_G,runs_G,mean_run_G,max_run_G,durfee_G,entropy_run_lengths_G,count_T,freq_T,runs_T,mean_run_T,max_run_T,durfee_T,entropy_run_lengths_T,transition_AC,transition_AG,transition_AT,transition_CA,transition_CG,transition_CT,transition_GA,transition_GC,transition_GT,transition_TA,transition_TC,transition_TG
NC_139478.1,"NC_139478.1 Musk shrew hepatitis B virus isolate CIV-304, complete genome",3172,2184,1.4523809523809523,6,1.2975376162036905,0.23672478740259328,5,813,0.2563051702395965,566,1.4363957597173145,6,5,1.269405582692738,765,0.24117276166456494,546,1.401098901098901,5,5,1.195722348323337,670,0.2112232030264817,445,1.5056179775280898,6,5,1.3689634984088408,924,0.29129886506935687,627,1.4736842105263157,6,5,1.3291432984607496,0.07924874026568941,0.076042143838754,0.10398534127347686,0.11131470453504352,0.013284470911589555,0.12505726065048098,0.07237746220797069,0.07329363261566652,0.058176820888685296,0.07512597343105817,0.09757214841960604,0.11452130096197893
NC_139477.1,"NC_139477.1 Crowned shrew hepatitis B virus isolate GF2139, complete genome",3089,2110,1.4639810426540285,6,1.3155555699987518,0.23714341824452756,6,748,0.24214956296536097,525,1.4247619047619047,6,5,1.247922662491489,783,0.25348009064422145,542,1.444649446494465,6,5,1.2814736046774955,676,0.2188410488831337,456,1.4824561403508771,6,4,1.344209058651763,882,0.2855292975072839,587,1.5025553662691653,6,5,1.3688880300127417,0.08440018966334756,0.06590801327643434,0.09862494073020389,0.10146989094357516,0.0431484115694642,0.1119013750592698,0.07064959696538643,0.0777619724988146,0.06780464675201517,0.07633949739212897,0.0948316737790422,0.10715979137031768
NC_117090.1,"NC_117090.1 Orthohepadnavirus magnimyotis isolate LQB_ZhongShu, complete genome",3308,2326,1.422184006878762,6,1.2454361820448268,0.22674934835792437,5,784,0.2370012091898428,571,1.3730297723292468,6,5,1.148721287977134,916,0.27690447400241835,645,1.42015503875969,5,4,1.2320841416425847,728,0.22007255139056833,489,1.4887525562372188,6,5,1.3567150029628166,880,0.2660217654171705,621,1.4170692431561998,6,5,1.2355405036928067,0.08860215053763441,0.0675268817204301,0.08946236559139785,0.11096774193548387,0.047311827956989246,0.11870967741935484,0.07096774193548387,0.08043010752688172,0.058924731182795696,0.06322580645161291,0.10838709677419354,0.09548387096774194
NC_116885.1,"NC_116885.1 Orthohepadnavirus bassarisci isolate CO-09/924, complete genome",3158,2210,1.4289592760180996,6,1.2568283272727088,0.23112285397424914,6,758,0.24002533248891703,540,1.4037037037037037,6,4,1.2028528242471554,891,0.28214059531348956,618,1.441747572815534,6,5,1.273711287082797,671,0.2124762507916403,456,1.4714912280701755,6,4,1.3280521935917766,838,0.26535782140595315,596,1.4060402684563758,6,4,1.216572904252708,0.09506564056133997,0.06835672249886826,0.08103214124038026,0.10593028519692169,0.04300588501584427,0.13037573562698054,0.0742417383431417,0.07378904481665913,0.058397464916251696,0.06382978723404255,0.11090991398822997,0.09506564056133997
NC_116972.1,"NC_116972.1 Potyvirus thevetiae isolate Amazonas, complete genome",9912,7183,1.3799248224975638,7,1.1700814555159778,0.21474291880760066,5,3407,0.34372477804681195,2224,1.5319244604316546,7,5,1.4220054669319748,1798,0.18139628732849072,1501,1.1978680879413723,4,4,0.772287842421868,2172,0.21912832929782083,1699,1.2783990582695703,5,4,0.9600119835829184,2535,0.2557506053268765,1759,1.4411597498578739,5,5,1.2753030854742258,0.08674463937621832,0.1088833194096352,0.11403508771929824,0.12002227791701475,0.021581732108047896,0.06725146198830409,0.11528822055137844,0.05764411027568922,0.06363130047340573,0.07421331105541631,0.06460595934280144,0.1060985797827903
NC_117432.1,"NC_117432.1 Polygonatum mosaic-associated virus 1 isolate S21MP21 SR, complete genome",9618,7082,1.358090934764191,6,1.1289256657727929,0.20794866586460747,5,2872,0.2986067789561239,1970,1.4578680203045686,6,5,1.3030502839357658,1780,0.1850696610521938,1542,1.1543450064850842,5,4,0.6533172783879941,2407,0.25025992929923063,1868,1.2885438972162742,5,4,0.9866558100068265,2559,0.26606363069245165,1702,1.5035252643948296,5,5,1.3739720030257603,0.08205055783081486,0.09518429600338935,0.10083321564750741,0.11128371698912583,0.04801581697500353,0.05846631831662195,0.11354328484677305,0.06919926564044626,0.0810619968930942,0.05338229063691569,0.06637480581838723,0.12060443440192063
NC_139456.1,"NC_139456.1 Passiflora foetida virus Y isolate SG, complete genome",9728,6995,1.3907076483202288,47,1.1791901178266697,0.22186753461118847,5,3252,0.33429276315789475,2109,1.5419630156472262,47,5,1.4078120753774144,1595,0.16395970394736842,1377,1.158315177923021,5,3,0.6634292034379071,2292,0.23560855263157895,1770,1.2949152542372881,6,4,1.000641541315869,2589,0.2661389802631579,1739,1.488786658999425,6,5,1.3550099259116857,0.07963969116385473,0.10794967114669717,0.11381183871890192,0.10866456963111239,0.029310837861023734,0.05890763511581355,0.11581355447526451,0.06133828996282528,0.07592221904489563,0.07706605661995997,0.055762081784386616,0.11581355447526451
NC_117233.1,"NC_117233.1 Miscanthus sinensis mosaic virus isolate WA, complete genome",9604,7082,1.3561140920643886,17,1.122788483986237,0.20731730554234606,5,3250,0.33840066638900457,2164,1.5018484288354899,17,5,1.369616597765721,1840,0.19158683881715952,1555,1.1832797427652733,4,4,0.7347312687205829,2102,0.21886713869221158,1692,1.2423167848699763,5,4,0.8807998408785354,2412,0.2511453561016243,1671,1.4434470377019748,5,5,1.2775691890910632,0.0947606270300805,0.09871487078096314,0.11198983194464059,0.11396695382008191,0.05013416184154781,0.05550063550345996,0.10662335828272843,0.06397401496963706,0.06835192769382856,0.08501624064397684,0.06086710916537212,0.09010026832368309
NC_105787.1,"NC_105787.1 Falcon aviadenovirus A isolate CDVUM_2557971, complete genome",39008,29050,1.342788296041308,7,1.1000259495529459,0.2039844918170277,6,11079,0.2840186628383921,7727,1.4338035460075063,7,6,1.266245644794721,8807,0.2257742001640689,7015,1.2554526015680685,6,5,0.9132730138986164,8179,0.20967493847415913,6479,1.2623861707053559,5,5,0.9290882900718318,10943,0.2805321985233798,7829,1.3977519478860647,7,6,1.201860571852628,0.08499431994216669,0.07518331095734793,0.1058211986643258,0.0903989810320493,0.0632035526179903,0.08788598574821853,0.08017487693208028,0.06702468243313023,0.07580295363007332,0.09542497159971083,0.0894695170229612,0.08461564941994561
NC_116743.1,"NC_116743.1 Aviadenovirus bubonis DNA, complete genome",40551,30363,1.3355399664064815,9,1.08524209450604,0.20265565836789978,7,10571,0.26068407684150824,7681,1.3762530920453067,8,6,1.1617071725839156,10362,0.2555300732411038,7853,1.3194957341143512,6,5,1.0524895486342363,9554,0.23560454736011444,7435,1.2850033624747814,6,5,0.9801233281560335,10064,0.24818130255727355,7394,1.3611035975114958,9,6,1.1328331080111933,0.09073842302878599,0.08194453593307424,0.08029774059679863,0.096205783545221,0.07545616230814835,0.0869837296620776,0.08556748567288057,0.08303142085501614,0.07624662406956063,0.07120743034055728,0.0848428957249193,0.08747776826296028
NC_139445.1,"NC_139445.1 MAG: Qinghai Lake virophage, complete genome",23379,16127,1.4496806597631302,10,1.2948974720052335,0.23675820024018934,7,7843,0.33547200479062406,5003,1.5676594043573855,10,7,1.4792320740818625,3756,0.16065699987167972,3001,1.2515828057314229,5,4,0.9019443995875961,3999,0.17105094315411268,3117,1.2829643888354187,5,4,0.9740598073306496,7781,0.33282005218358357,5006,1.5543347982421094,8,7,1.458054354468396,0.0729257100334863,0.07980900409276943,0.15750961180701972,0.0750961180701972,0.02908346769192608,0.0819174004712886,0.08793253131588738,0.034354458638223985,0.07100334862954236,0.14715366488899914,0.0788168175617016,0.08439786679895821
NC_105837.1,"NC_105837.1 Essdubovirus chlorellae isolate SW01, complete genome",24744,17030,1.4529653552554316,10,1.29882776060248,0.24058605332936933,8,8194,0.3311509860976398,5138,1.594783962631374,10,7,1.5180689700435124,4347,0.17567895247332688,3403,1.2774022920952102,6,5,0.96210959251712,4470,0.18064985451018428,3524,1.2684449489216798,5,5,0.943733225976757,7733,0.312520206918849,4965,1.5575025176233634,10,7,1.4644653598070283,0.07451993657877738,0.07968759175524107,0.14751306594632685,0.09483821715896412,0.031182101121616068,0.07375653297316342,0.08297609959480885,0.053673145810088675,0.07029185507076165,0.12390627752657232,0.07164249221915556,0.09601268424452404
NC_115876.1,"NC_115876.1 Cedratvirus kamchatka isolate P4, complete genome",466767,337787,1.3818382590212175,10,1.174424134494961,0.21446496158342065,8,139124,0.2980587745063383,94223,1.4765396983751313,9,8,1.337486307189211,95605,0.2048238200215525,75307,1.2695366964558408,6,5,0.9375200709507037,94000,0.20138527359474856,74150,1.2677006068779502,6,5,0.9340983460240931,138038,0.29573213187736064,94107,1.4668196839767498,10,8,1.320610262660993,0.07923063714896414,0.11149366758835476,0.08821561580408897,0.08377493442593832,0.026404291474483844,0.11276370246250585,0.09422237748160078,0.047675155275825526,0.0776201500358215,0.10094260863386878,0.09603713593813835,0.0816197237304092
