accession,genus,family,k,tract_len,gene_end,null_rate
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,True,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,6,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,6,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,6,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,7,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,6,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,7,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,6,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,6,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,7,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,6,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,8,True,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,6,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,6,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,6,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,7,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,6,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,7,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,6,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,7,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,6,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,True,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,True,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,True,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,6,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,6,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
NC_001803.1,Orthopneumovirus,Pneumoviridae,5,5,False,0.0259259259259259
